Country Name,Country Code,Series Name,Series Code,1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Georgia,GEO,Population growth (annual %),SP.POP.GROW,0.262664316118746,-0.0270683894920024,0.703475649320206,0.774511050286416,0.76855845063073,-1.5394301205047,-3.75771606823635,-3.62954607972126,-3.20751817162219,-2.474222975613,-2.05737687863556,-1.9446291567975,-1.55123839698929,-0.89725367267161,7.78601024886028,-9.08063846475098,-0.635292218459481,-0.568484712403705,-0.521646734447263,-0.303790529341209,-0.888185042750245,-0.729475256932528,-0.802164039694326,-0.736565518814038,-0.300972141406188,0.0469539002549217,0.157481405176007,0.0598165991047394,0.0133860746662629,..
Georgia,GEO,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..,..,..,..,..,6.91565990447998,..,..,..,2.10888004302979,2.15512990951538,2.18107008934021,2.13750004768372,2.23500990867615,2.06559991836548,2.91420006752014,2.48430991172791,3.00363993644714,2.69687008857727,2.91955995559692,3.22238993644714,..,2.69621992111206,1.98330998420715,..,..,..,3.78477001190186,3.8299400806427,..
Georgia,GEO,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,..,..,..,..,..,..,..,..,1162900000,994500000,863400000,1013301784.05,1001561754.22,1070816314.11,1426422392.53,1985880976.17,2631405482.56,3642934226.7,4944364569.37,6224462552.57,4270445003.93,5021340414.73,6722567598.5,7685207565.51,7697005713.29,8280714562.62,6972980228.37,6747227737.37,7374056685.16,..
Georgia,GEO,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15.4938221133914,14.4260998122425,20.2857046497533,0.359925081741011,5.97749227869184,7.72770424142506,10.3480833084885,..
Georgia,GEO,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,9.321,9.407,9.509,9.615,9.712,9.794,9.856,9.889,9.9,9.899,9.896,9.91,9.961,10.063,10.223,10.442,10.719,11.049,11.412,11.783,12.146,12.476,12.755,12.974,13.131,13.222,13.252,13.228,13.168,..
Georgia,GEO,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,30.17271,..,30.86433,..,32.84663,..,..
Georgia,GEO,"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",SE.TER.CUAT.BA.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,29.84851,..,30.91455,..,33.1683,..,..
Georgia,GEO,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,..,..,..,..,..,..,..,1.6149802979388,2.49379601865465,4.58484305327977,23.8864140674709,10.8504652571413,38.1431033469024,41.0993779220176,24.6503725021928,38.250468307732,22.5855122879835,16.4662610724101,7.48733819493544,2.68785318364521,3.9482437987635,1.86129196706428,1.34922644471469,2.38740535692857,2.39773436900213,3.0194983350171,5.56707700095321,3.89919177974105,2.90096507549078,..
Georgia,GEO,Medium and high-tech Industry (including construction) (% manufacturing value added),NV.MNF.TECH.ZS.UN,..,14.4394636196272,14.4394636196272,14.4394636196272,14.4394636196272,14.4394636196272,14.4394636196272,14.4394636196272,14.4394636196272,14.4394636196272,13.6222991751537,21.3861168067712,17.2461890624369,15.0439777712425,17.1228651311709,16.0299341485569,18.5832130586826,20.6636882024581,15.747258243864,15.3910819312041,21.6145584662651,17.1635934087675,21.7724927811889,15.9977568467978,17.785541426166,15.1117470713782,15.7139246531052,..,..,..
Georgia,GEO,Scientific and technical journal articles,IP.JRN.ARTC.SC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,216.6,269.2,377,357.5,307.4,350.1,406.6,346.4,463.2,441.4,473.4,486.1,492,579.4,..,..
