Country Name,Country Code,Series Name,Series Code,1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Russian Federation,RUS,GDP (current US$),NY.GDP.MKTP.CD,506500173960.269,516814274021.956,517962962962.963,460290556900.726,435083713850.837,395077301248.464,395537185734.854,391724890744.498,404928954191.876,270955486862.442,195907128350.934,259710142196.943,306602070620.5,345470494417.863,430347770733.155,591016690742.937,764017107993.346,989930542278.684,1299705764824.48,1660846387626,1222644282200.48,1524917468442.6,2051661732059.47,2210256976944.75,2297128039058.16,2063662665172.51,1363705265460.57,1282663609770.69,1578417211936.87,..
Russian Federation,RUS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,-2.99999564223597,-5.04693945132418,-14.5310737737727,-8.66854034149995,-12.5697559795822,-4.14352840567564,-3.60000000044677,1.3999999993606,-5.29999999869101,6.40000000010387,9.99999999924512,5.09198423124656,4.74366989682781,7.2958543309982,7.17594919231892,6.37618702701079,8.15343197292427,8.5350802093854,5.24795353229561,-7.82088502701555,4.50372562582622,5.28488541544156,3.65590157303015,1.78535450092336,0.73860077318939,-2.82824081346031,-0.224910984282289,1.64688367269501,..
Russian Federation,RUS,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,99.2,99.2,99.2,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.2,99.3,99.3,99.4,99.3,99.4,99.5,99.6,99.6,99.7,99.7,98.7,99.7,99.7,99.7,..,..,..,..
Russian Federation,RUS,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,14.6,13.4,12.1,10.7,9.4,9.5,9.3,8.9,8.6,8.8,8.3,8.7,9.1,9.8,10.2,10.4,10.2,10.4,11.3,12,12.3,12.5,12.6,13.3,13.2,13.3,13.3,12.9,12.9,..
Russian Federation,RUS,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,..,..,..,..,-23.5876330913957,-18.4999267353469,-9.66602055221264,16.1442867787038,4.06524124419845,-6.31155246529201,20.5597633769078,22.0973958811395,2.81645421812493,3.65419691165205,6.83737664873219,15.2762097935704,11.1387097802007,12.7053387159143,16.4019065425509,4.72011230430675,-16.9568426567453,12.0205951241029,10.7812577751996,4.35594383515725,0.188006644325014,0.326754212274309,-6.55227841679294,-4.40384976421041,2.08357547317692,..
Russian Federation,RUS,Unemployment with advanced education (% of total labor force with advanced education),SL.UEM.ADVN.ZS,..,..,..,..,..,..,..,..,..,10.1099996566772,..,..,..,12.1899995803833,11.8000001907349,5.05999994277954,..,4.53000020980835,3.74000000953674,3.99000000953674,5.48999977111816,7.16839981079102,6.37779998779297,5.33960008621216,5.35820007324219,5.01319980621338,5.34989976882935,5.43249988555908,5.04059982299805,..
Russian Federation,RUS,Unemployment with basic education (% of total labor force with basic education),SL.UEM.BASC.ZS,..,..,..,..,..,..,..,..,..,19.1599998474121,..,..,..,14.6199998855591,13.960000038147,15.9700002670288,..,15.1999998092651,13.1499996185303,14.8800001144409,18,16.6452007293701,16.3558006286621,13.7033996582031,13.7101001739502,13.2552003860474,13.8213996887207,14.0195999145508,13.5057001113892,..
Russian Federation,RUS,"Trained teachers in secondary education, female (% of female teachers)",SE.SEC.TCAQ.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Russian Federation,RUS,Trained teachers in upper secondary education (% of total teachers),SE.SEC.TCAQ.UP.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Russian Federation,RUS,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,21.0122164048866,17.9447376591121,12.9853414372542,48.2546028406102,30.4938487551746,23.1953336062219,25.8938941161638,21.8495126891282,22.527079880846,24.5510478117966,26.1733129859875,24.0334657318409,24.2173650683869,24.432851668898,23.8782872312025,22.1639613425501,21.5101825250986,21.002926423212,21.5420622610389,22.0729057073058,20.4969598237948,21.1399447023205,19.9241768817446,20.2261070957739,20.4003902447295,20.6459223567456,20.6416133727756,20.5661743151545,20.7114227188296,..
Russian Federation,RUS,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,..,..,-7.29114533177187,-21.5960193065996,-13.2478920052308,-19.861016495868,-4.55167414699565,-5.57288320119274,0.879612558797604,-5.0594747427068,9.48296379929378,12.1413378635029,5.77078288942225,3.76192293008791,9.05072810015264,9.70930317985581,4.08752223240123,4.48658253097476,4.80724543290019,1.85114459328368,-10.4103792010963,6.61153675361265,6.39288357597385,3.26954448042802,-0.260651690102307,0.176813554749145,-2.38598634727968,-0.129812108662932,0.765655956617877,..
Russian Federation,RUS,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,..,..,..,..,..,..,..,..,..,..,..,56.63672833,68.55965884,82.07148537,95.67618213,122.96979962,166.3038792,217.75149074,286.61576954,381.94255485,320.69863787,348.25112984,429.00153736,484.22173251,506.01268629,458.63224079,294.68088195,267.17024815,..,..
